ID,CITY,CITY_ASCII,COUNTRY
1004003059,Kandahār,Kandahar,AFG
1004016690,Qalāt,Qalat,AFG
1004047427,Sar-e Pul,Sar-e Pul,AFG
1004123527,Pul-e Khumrī,Pul-e Khumri,AFG
1004151943,Maḩmūd-e Rāqī,Mahmud-e Raqi,AFG
1004167490,Ghaznī,Ghazni,AFG
1004180853,Pul-e ‘Alam,Pul-e `Alam,AFG
1004227517,Kunduz,Kunduz,AFG
1004237782,Herāt,Herat,AFG
1004251962,Asadābād,Asadabad,AFG
1004273142,Sharan,Sharan,AFG
1004274041,Bāmyān,Bamyan,AFG
1004315012,Jalālābād,Jalalabad,AFG
1004374554,Bāzārak,Bazarak,AFG
1004436363,Mazār-e Sharīf,Mazar-e Sharif,AFG
1004450357,Kōṯah-ye ‘As̲h̲rō,Kotah-ye `Ashro,AFG
1004452653,Faīẕābād,Faizabad,AFG
1004468894,Gardēz,Gardez,AFG
1004472345,Andkhōy,Andkhoy,AFG
1004472874,Buynī Qarah,Buyni Qarah,AFG
1004481163,Qal‘ah-ye Zāl,Qal`ah-ye Zal,AFG
1004486677,Khulm,Khulm,AFG
1004504986,Zaranj,Zaranj,AFG
1004523791,Farāh,Farah,AFG
1004546127,Karukh,Karukh,AFG
1004564619,Aībak,Aibak,AFG
1004590769,Mehtar Lām,Mehtar Lam,AFG
1004622920,Maīmanah,Maimanah,AFG
1004642532,Nīlī,Nili,AFG
1004654094,Balkh,Balkh,AFG
1004687194,Tāluqān,Taluqan,AFG
1004707647,Barakī Barak,Baraki Barak,AFG
1004765445,Lashkar Gāh,Lashkar Gah,AFG
1004795942,Pārūn,Parun,AFG
1004798735,Maīdān Shahr,Maidan Shahr,AFG
1004805783,Shibirghān,Shibirghan,AFG
1004817775,Chārīkār,Charikar,AFG
1004893931,Tarīn Kōṯ,Tarin Kot,AFG
1004919977,Khōst,Khost,AFG
1004931539,Khānābād,Khanabad,AFG
1004943705,Baghlān,Baghlan,AFG
1004947440,Qal‘ah-ye Now,Qal`ah-ye Now,AFG
1004965319,Zarghūn Shahr,Zarghun Shahr,AFG
1004988038,Fayrōz Kōh,Fayroz Koh,AFG
1004993580,Kabul,Kabul,AFG
1008049831,Ersekë,Erseke,ALB
1008080226,Belsh,Belsh,ALB
1008148968,Kamëz,Kamez,ALB
1008162156,Tirana,Tirana,ALB
1008173690,Durrës,Durres,ALB
1008184635,Patos,Patos,ALB
1008251523,Bajram Curri,Bajram Curri,ALB
1008273800,Delvinë,Delvine,ALB
1008276050,Vlorë,Vlore,ALB
1008293317,Fier,Fier,ALB
1008302673,Cërrik,Cerrik,ALB
1008348826,Shijak,Shijak,ALB
1008361921,Korçë,Korce,ALB
1008366566,Pogradec,Pogradec,ALB
1008368062,Gjirokastër,Gjirokaster,ALB
1008373202,Shëngjin,Shengjin,ALB
1008394491,Vau i Dejës,Vau i Dejes,ALB
1008394656,Peqin,Peqin,ALB
1008409270,Elbasan,Elbasan,ALB
1008412550,Peshkopi,Peshkopi,ALB
1008422115,Rrogozhinë,Rrogozhine,ALB
1008475617,Kavajë,Kavaje,ALB
1008483668,Libonik,Libonik,ALB
1008489904,Divjakë,Divjake,ALB
1008520632,Kuçovë,Kucove,ALB
1008549519,Mamurras,Mamurras,ALB
1008566247,Çorovodë,Corovode,ALB
1008604833,Përmet,Permet,ALB
1008632813,Gramsh,Gramsh,ALB
1008639331,Librazhd-Qendër,Librazhd-Qender,ALB
1008647190,Sukth,Sukth,ALB
